1,Hobson,R,OH,H000666
2,Gutierrez,D,IL,G000535
3,Whitfield,R,KY,W000413
4,Tauscher,D,CA,T000057
5,Coble,R,NC,C000556
6,Ferguson,R,NJ,F000443
7,Cleaver,D,MO,C001061
8,Chabot,R,OH,C000266
9,Norton,D,XX,N000147
10,Rohrabacher,R,CA,R000409
11,Lewis (GA),D,GA,L000287
12,Gonzalez,D,TX,G000544
13,Porter,R,NV,P000589
14,Richardson,D,CA,R000581
15,Kilpatrick,D,MI,K000180
16,Ross,D,AR,R000573
17,Hodes,D,NH,H001043
18,Bachus,R,AL,B000013
19,Fortenberry,R,NE,F000449
20,Emanuel,D,IL,E000287
21,Goode,R,VA,G000280
22,Sherman,D,CA,S000344
23,Bilbray,R,CA,B000461
24,Musgrave,R,CO,M001152
25,McDermott,D,WA,M000404
26,Royce,R,CA,R000487
27,Souder,R,IN,S001143
28,Blackburn,R,TN,B001243
29,Norwood,R,GA,N000159
30,Dent,R,PA,D000604
31,Barton (TX),R,TX,B000213
32,Herseth Sandlin,D,SD,H001037
33,Serrano,D,NY,S000248
34,Sullivan,R,OK,S001155
35,Andrews,D,NJ,A000210
36,Solis,D,CA,S001153
37,Calvert,R,CA,C000059
38,Hill,D,IN,H001030
39,Lowey,D,NY,L000480
40,Knollenberg,R,MI,K000288
41,McKeon,R,CA,M000508
42,Biggert,R,IL,B001232
43,Van Hollen,D,MD,V000128
44,Chandler,D,KY,C001058
45,LaTourette,R,OH,L000553
46,Bean,D,IL,B001253
47,Heller,R,NV,H001041
48,Turner,R,OH,T000463
49,Waxman,D,CA,W000215
50,Wexler,D,FL,W000314
51,"Brown-Waite, Ginny",R,FL,B001247
52,Bishop (UT),R,UT,B001250
53,Eshoo,D,CA,E000215
54,Oberstar,D,MN,O000006
55,Holt,D,NJ,H001032
56,Marchant,R,TX,M001158
57,Bilirakis,R,FL,B001257
58,LaHood,R,IL,L000552
59,Bartlett (MD),R,MD,B000208
60,Payne,D,NJ,P000149
61,Lamborn,R,CO,L000564
62,Schwartz,D,PA,S001162
63,"Miller, George",D,CA,M000725
64,Engel,D,NY,E000179
65,Boozman,R,AR,B001236
66,Courtney,D,CT,C001069
67,Braley (IA),D,IA,B001259
68,Carter,R,TX,C001051
69,Paul,R,TX,P000583
70,Bonner,R,AL,B001244
71,Grijalva,D,AZ,G000551
72,Salazar,D,CO,S001158
73,"Murphy, Patrick",D,PA,M001168
74,Nadler,D,NY,N000002
75,McGovern,D,MA,M000312
76,Waters,D,CA,W000187
77,Granger,R,TX,G000377
78,Ehlers,R,MI,E000092
79,"Green, Gene",D,TX,G000410
80,Westmoreland,R,GA,W000796
81,Murphy (CT),D,CT,M001169
82,Gordon,D,TN,G000309
83,Miller (MI),R,MI,M001150
84,Kuhl (NY),R,NY,K000364
85,Cubin,R,WY,C000962
86,Ellsworth,D,IN,E000289
87,Lipinski,D,IL,L000563
88,Conaway,R,TX,C001062
89,Sessions,R,TX,S000250
90,Hulshof,R,MO,H000948
91,Cuellar,D,TX,C001063
92,Klein (FL),D,FL,K000366
93,Pelosi,D,CA,P000197
94,McMorris Rodgers,R,WA,M001159
95,Faleomavaega,D,XX,F000010
96,Capito,R,WV,C001047
97,Pastor,D,AZ,P000099
98,Dreier,R,CA,D000492
99,Brown (SC),R,SC,B001235
100,Ellison,D,MN,E000288
101,McNerney,D,CA,M001166
102,Hunter,R,CA,H000981
103,"Johnson, Sam",R,TX,J000174
104,Capuano,D,MA,C001037
105,Bordallo,D,XX,B001245
106,Weiner,D,NY,W000792
107,Becerra,D,CA,B000287
108,Carnahan,D,MO,C001060
109,Shuster,R,PA,S001154
110,Wynn,D,MD,W000784
111,Costello,D,IL,C000794
112,Matheson,D,UT,M001142
113,Baldwin,D,WI,B001230
114,Cummings,D,MD,C000984
115,Kanjorski,D,PA,K000008
116,Wamp,R,TN,W000119
117,Cardoza,D,CA,C001050
118,Mollohan,D,WV,M000844
119,Walsh (NY),R,NY,W000099
120,McCrery,R,LA,M000388
121,Pomeroy,D,ND,P000422
122,Miller (FL),R,FL,M001144
123,Alexander,R,LA,A000361
124,Mack,R,FL,M001155
125,Meehan,D,MA,M000627
126,Hall (NY),D,NY,H001039
127,Clarke,D,NY,C001067
128,Moore (WI),D,WI,M001160
129,Burton (IN),R,IN,B001149
130,Markey,D,MA,M000133
131,Taylor,D,MS,T000074
132,Flake,R,AZ,F000444
133,Lynch,D,MA,L000562
134,Baird,D,WA,B001229
135,Tiahrt,R,KS,T000260
136,Jefferson,D,LA,J000070
137,Lewis (KY),R,KY,L000293
138,"Lungren, Daniel E.",R,CA,L000517
139,Hall (TX),R,TX,H000067
140,Maloney (NY),D,NY,M000087
141,Issa,R,CA,I000056
142,Everett,R,AL,E000268
143,Watt,D,NC,W000207
144,Melancon,D,LA,M001161
145,Stupak,D,MI,S001045
146,Johnson (GA),D,GA,J000288
147,Moore (KS),D,KS,M001140
148,Regula,R,OH,R000141
149,Stark,D,CA,S000810
150,Wilson (SC),R,SC,W000795
151,Gerlach,R,PA,G000549
152,Terry,R,NE,T000459
153,Thompson (MS),D,MS,T000193
154,Reichert,R,WA,R000578
155,Franks (AZ),R,AZ,F000448
156,Delahunt,D,MA,D000210
157,"Davis, Jo Ann",R,VA,D000597
158,Gingrey,R,GA,G000550
159,"Davis, David",R,TN,D000606
160,Petri,R,WI,P000265
161,Pallone,D,NJ,P000034
162,Butterfield,D,NC,B001251
163,Hoyer,D,MD,H000874
164,Platts,R,PA,P000585
165,Boren,D,OK,B001254
166,Poe,R,TX,P000592
167,Olver,D,MA,O000085
168,Rogers (MI),R,MI,R000572
169,Lantos,D,CA,L000090
170,"Davis, Lincoln",D,TN,D000599
171,Johnson (IL),R,IL,J000285
172,Aderholt,R,AL,A000055
173,Shadegg,R,AZ,S000275
174,Schiff,D,CA,S001150
175,McCollum (MN),D,MN,M001143
176,Fossella,R,NY,F000440
177,Marshall,D,GA,M001146
178,Perlmutter,D,CO,P000593
179,Brady (PA),D,PA,B001227
180,Blunt,R,MO,B000575
181,Campbell (CA),R,CA,C001064
182,Stearns,R,FL,S000822
183,Hooley,D,OR,H000762
184,Larson (CT),D,CT,L000557
185,King (IA),R,IA,K000362
186,Blumenauer,D,OR,B000574
187,"Brown, Corrine",D,FL,B000911
188,Cole (OK),R,OK,C001053
189,Rangel,D,NY,R000053
190,Abercrombie,D,HI,A000014
191,"Sánchez, Linda T.",D,CA,S001156
192,Peterson (MN),D,MN,P000258
193,DeGette,D,CO,D000197
194,"Lofgren, Zoe",D,CA,L000397
195,Capps,D,CA,C001036
196,Shimkus,R,IL,S000364
197,Radanovich,R,CA,R000004
198,Arcuri,D,NY,A000363
199,Ackerman,D,NY,A000022
200,Cannon,R,UT,C000116
201,Crenshaw,R,FL,C001045
202,Akin,R,MO,A000358
203,McHenry,R,NC,M001156
204,McCaul (TX),R,TX,M001157
205,Rogers (KY),R,KY,R000395
206,Boswell,D,IA,B000652
207,Donnelly,D,IN,D000607
208,Hare,D,IL,H001040
209,Boehner,R,OH,B000589
210,Towns,D,NY,T000326
211,Miller (NC),D,NC,M001154
212,Gohmert,R,TX,G000552
213,Buyer,R,IN,B001203
214,Neal (MA),D,MA,N000015
215,Costa,D,CA,C001059
216,Lee,D,CA,L000551
217,Abercrombie,D,HI,0000000
218,Gallegly,R,CA,G000021
219,Moran (VA),D,VA,M000933
220,Meek (FL),D,FL,M001148
221,Broun (GA),R,GA,B001262
222,Frank (MA),D,MA,F000339
223,Hirono,D,HI,H001042
224,LoBiondo,R,NJ,L000554
225,Walden (OR),R,OR,W000791
226,English (PA),R,PA,E000187
227,Pitts,R,PA,P000373
228,Upton,R,MI,U000031
229,Filner,D,CA,F000116
230,Jackson (IL),D,IL,J000283
231,Nunes,R,CA,N000181
232,King (NY),R,NY,K000210
233,Clyburn,D,SC,C000537
234,Rogers (AL),R,AL,R000575
235,Matsui,D,CA,M001163
236,Berry,D,AR,B000420
237,Kingston,R,GA,K000220
238,Doggett,D,TX,D000399
239,Smith (TX),R,TX,S000583
240,McNulty,D,NY,M000590
241,Drake,R,VA,D000605
242,Shays,R,CT,S001144
243,Price (NC),D,NC,P000523
244,Cooper,D,TN,C000754
245,Mahoney (FL),D,FL,M001164
246,"Diaz-Balart, L.",R,FL,D000299
247,Kildee,D,MI,K000172
248,Fortuño,R,XX,F000452
249,Harman,D,CA,H000213
250,Loebsack,D,IA,L000565
251,Snyder,D,AR,S000672
252,Etheridge,D,NC,E000226
253,Garrett (NJ),R,NJ,G000548
254,Kucinich,D,OH,K000336
255,Dicks,D,WA,D000327
256,Latham,R,IA,L000111
257,Gillibrand,D,NY,G000555
258,Obey,D,WI,O000007
259,"Johnson, E. B.",D,TX,J000126
260,"Murphy, Tim",R,PA,M001151
261,Rush,D,IL,R000515
262,Smith (NE),R,NE,S001172
263,Lucas,R,OK,L000491
264,Baker,R,LA,B000072
265,DeFazio,D,OR,D000191
266,Lewis (CA),R,CA,L000274
267,Sestak,D,PA,S001169
268,Burgess,R,TX,B001248
269,Renzi,R,AZ,R000574
270,Tanner,D,TN,T000038
271,Fallin,R,OK,F000453
272,Feeney,R,FL,F000447
273,Ryan (WI),R,WI,R000570
274,Carson,D,IN,C000191
275,Castle,R,DE,C000243
276,Davis (IL),D,IL,D000096
277,Price (GA),R,GA,P000591
278,Jones (OH),D,OH,J000284
279,Conyers,D,MI,C000714
280,Pascrell,D,NJ,P000096
281,Brady (TX),R,TX,B000755
282,Buchanan,R,FL,B001260
283,Larsen (WA),D,WA,L000560
284,Jordan,R,OH,J000289
285,Tancredo,R,CO,T000458
286,Christensen,D,XX,C000380
287,Wasserman Schultz,D,FL,W000797
288,Bachmann,R,MN,B001256
289,Ryan (OH),D,OH,R000577
290,Velázquez,D,NY,V000081
