id,legislation,question,datetime,description
1,QUORUM,Call of the House,3-Jan-1996,12:25 PM,
2,MOTION,Table appeal of the ruling of the chair,3-Jan-1996,1:29 PM,
3,H R 1530,"Passage, the Objections of the President Notwithstanding",3-Jan-1996,3:45 PM,National Defense Authorization Act for FY 1996
4,H R 2076,"Passage, Objection of the President Notwithstanding",3-Jan-1996,5:24 PM,"Commerce, Justice, State, Judiciary Appropriations, FY 1996"
5,H R 1977,"Passage, objections of the President notwithstanding",4-Jan-1996,1:28 PM,Interior Appropriations for Fiscal Year 1996
6,H RES 334,On Ordering the Previous Question,5-Jan-1996,1:01 PM,Providing for consideration of a motion to dispose of Senate amendment (Continuing Appropriations) to H.R. 1643; Bulgaria
7,H R 1643,Agree to Senate amendment with amendments,5-Jan-1996,2:43 PM,(Targeted Continuing Appropriations) Bulgaria
8,H RES 330,On Agreeing to the Resolution,5-Jan-1996,4:28 PM,Authorize the Speaker to Declare Recesses
9,H RES 336,On Ordering the Previous Question,5-Jan-1996,6:06 PM,Providing for the dispostion of the Senate amendment to H.J.Res. 134; making further continuing appropriations for F.Y. 1996
10,S 1124,Closing Portions of the Conference,5-Jan-1996,7:28 PM,National Defense Authorization Act for FY 1996
11,H RES 338,On Ordering the Previous Question,5-Jan-1996,9:23 PM,"Providing for the disposition of the Senate amendment to H.R. 1358, Targeted Continuing Appropriations and Marine Fisheries Service Laboratory Transfer"
12,H RES 338,On Agreeing to the Resolution,5-Jan-1996,9:40 PM,"Providing for the disposition of the Senate amendment to H.R. 1358, Targeted Continuing Appropriations and Marine Fisheries Service Laboratory Transfer"
13,H R 2657,On Motion to Suspend the Rules and Pass,23-Jan-1996,4:16 PM,Ruth and Billy Graham Congressional Gold Medal
14,S 1341,On Motion to Suspend the Rules and Pass,23-Jan-1996,4:27 PM,Saddleback Mountain-Arizona Settlement Act
15,H R 2726,"On Motion to Suspend the Rules and Pass, as Amended",23-Jan-1996,4:38 PM,Technical Corrections to Native American Laws
16,S 1124,On Agreeing to the Conference Report,24-Jan-1996,3:14 PM,National Defense Authorization Act for FY 1996
17,H RES 342,On Agreeing to the Resolution,25-Jan-1996,11:58 AM,Waiving a requirement of clause 4(b) of rule XI with respect to consideration of certain resolutions reported from the Committee on Rules
