1,Smith (NE),R,NE,
2,Visclosky,D,IN,
3,Jenkins,D,GA,
4,Neal (NC),D,NC,
5,Kolter,D,PA,
6,Guarini,D,NJ,
7,Laughlin,D,TX,
8,Gray,D,PA,
9,Studds,D,MA,
10,Livingston,R,LA,
11,Clarke,D,NC,
12,Porter,R,IL,
13,Gekas,R,PA,
14,Brennan,D,ME,
15,Schaefer,R,CO,
16,Baker (LA),R,LA,
17,Frank (MA),D,MA,
18,Coyne,D,PA,
19,Sikorski,D,MN,
20,Fish,R,NY,
21,Lowey,D,NY,
22,Walsh,R,NY,
23,Frost,D,TX,
24,Lowery (CA),R,CA,
25,Fawell,R,IL,
26,Herger,R,CA,
27,Poshard,D,IL,
28,Lightfoot,R,IA,
29,Traxler,D,MI,
30,Saiki,R,HI,
31,Gejdenson,D,CT,
32,Rowland (CT),R,CT,
33,Bereuter,R,NE,
34,Ackerman,D,NY,
35,Moorhead,R,CA,
36,Pease,D,OH,
37,Tauzin,D,LA,
38,Bateman,R,VA,
39,Paxon,R,NY,
40,Callahan,R,AL,
41,McEwen,R,OH,
42,Dickinson,R,AL,
43,Carr,D,MI,
44,Murtha,D,PA,
45,Miller (OH),R,OH,
46,Martinez,D,CA,
47,Smith (TX),R,TX,
48,Moakley,D,MA,
49,Kostmayer,D,PA,
50,Coleman (MO),R,MO,
51,Anthony,D,AR,
52,Henry,R,MI,
53,Nielson,R,UT,
54,Spratt,D,SC,
55,Quillen,R,TN,
56,Pelosi,D,CA,
57,Montgomery,D,MS,
58,Chapman,D,TX,
59,Brown (CO),R,CO,
60,Serrano,D,NY,
61,Foglietta,D,PA,
62,Rinaldo,R,NJ,
63,Lent,R,NY,
64,Durbin,D,IL,
65,Molinari,R,NY,
66,Early,D,MA,
67,Schiff,R,NM,
68,Bryant (TX),D,TX,
69,Ravenel,R,SC,
70,Gallo,R,NJ,
71,Roukema,R,NJ,
72,Johnston,D,FL,
73,Boucher,D,VA,
74,Neal,D,MA,
75,Hyde,R,IL,
76,Brooks,D,TX,
77,McMillen (MD),D,MD,
78,Goss,R,FL,
79,Combest,R,TX,
80,Hastert,R,IL,
81,Manton,D,NY,
82,Hatcher,D,GA,
83,Lewis (FL),R,FL,
84,Parris,R,VA,
85,McCollum,R,FL,
86,Jones (NC),D,NC,
87,Levine (CA),D,CA,
88,Pursell,R,MI,
89,McHugh,D,NY,
90,DeWine,R,OH,
91,Brown (CA),D,CA,
92,Conyers,D,MI,
93,Gordon,D,TN,
94,Oxley,R,OH,
95,Pashayan,R,CA,
96,Ridge,R,PA,
97,Whittaker,R,KS,
98,Price (NC),D,NC,
99,Ford (MI),D,MI,
100,Walker,R,PA,
101,Johnson (SD),D,SD,
102,Gilman,R,NY,
103,Smith (FL),D,FL,
104,Engel,D,NY,
105,James,R,FL,
106,Morrison (WA),R,WA,
107,English (OK),D,OK,
108,Kleczka,D,WI,
109,Armey,R,TX,
110,Panetta,D,CA,
111,Miller (WA),R,WA,
112,Solomon,R,NY,
113,Dannemeyer,R,CA,
114,Bevill,D,AL,
115,Wilson,D,TX,
116,Applegate,D,OH,
117,Slaughter (VA),R,VA,
118,Wolf,R,VA,
119,Obey,D,WI,
120,Hancock,R,MO,
121,Upton,R,MI,
122,Tallon,D,SC,
123,Feighan,D,OH,
124,Washington,D,TX,
125,Ireland,R,FL,
126,Thomas (WY),R,WY,
127,McCurdy,D,OK,
128,Weldon (PA),R,PA,
129,Thomas (GA),D,GA,
130,Horton,R,NY,
131,Petri,R,WI,
132,Saxton,R,NJ,
133,Olin,D,VA,
134,Hiler,R,IN,
135,Darden,D,GA,
136,Mavroules,D,MA,
137,de la Garza,D,TX,
138,Spence,R,SC,
139,Hefner,D,NC,
140,Coleman,D,TX,
141,Cox,R,CA,
142,Gibbons,D,FL,
143,Bilirakis,R,FL,
144,Roberts,R,KS,
145,Taylor (MS),D,MS,
146,Morella,R,MD,
147,Jacobs,D,IN,
148,Vander Jagt,R,MI,
149,Dymally,D,CA,
150,Kyl,R,AZ,
151,Packard,R,CA,
152,Chandler,R,WA,
153,Regula,R,OH,
154,Mineta,D,CA,
155,Staggers,D,WV,
156,Dellums,D,CA,
157,Gingrich,R,GA,
158,Byron,D,MD,
159,Roth,R,WI,
160,Lantos,D,CA,
