id,legislation,question,datetime,description
1,QUORUM,Call of the House,31-Jan-2006,3:55 PM,
2,H RES 653,On Consideration of the Resolution,1-Feb-2006,2:36 PM,Relating to consideration of the bill (S. 1932) to provide for reconciliation pursuant to section 202 (a) of the concurrent resolution on the budget for fiscal year 2006 (H. Con. Res. 95)
3,H RES 648,On Motion to Suspend the Rules and Agree,1-Feb-2006,5:01 PM,To eliminate floor privileges and access to Member exercise facilities for registered lobbyists who are former Members or officers of the House
4,H RES 653,On Agreeing to the Resolution,1-Feb-2006,5:11 PM,Relating to consideration of the bill (S. 1932) to provide for reconciliation pursuant to section 202 (a) of the concurrent resolution on the budget for fiscal year 2006 (H. Con. Res. 95)
5,H RES 670,On Motion to Suspend the Rules and Agree,8-Feb-2006,6:53 PM,Congratulating the National Football League champion Pittsburgh Steelers for winning Super Bowl XL and completing one of the greatest postseason runs in professional sports history
6,H RES 657,On Motion to Suspend the Rules and Agree,8-Feb-2006,7:04 PM,Honoring the contributions of Catholic schools
7,H R 4297,On Motion to Instruct Conferees,8-Feb-2006,7:24 PM,Tax Relief Extension Reconciliation Act
8,H CON RES 322,"On Motion to Suspend the Rules and Agree, As Amended",14-Feb-2006,6:54 PM,Expressing the Sense of Congress regarding the contribution of the USO to the morale and welfare of our servicemen and women of our armed forces and their families
9,S 1989,On Motion to Suspend the Rules and Pass,14-Feb-2006,7:10 PM,"To designate the facility of the United States Postal Service located at 57 Rolfe Square in Cranston, Rhode Island, shall be known and designated as the “Holly A. Charette Post Office”"
10,S CON RES 79,On Motion to Suspend the Rules and Agree,15-Feb-2006,6:12 PM,Expressing the sense of Congress that no United States assistance should be provided directly to the Palestinian Authority if any representative political party holding a majority of parliamentary seats within the Palestinian Authority maintains a position calling for the destruction of Israel.
11,H R 4745,On Motion to Suspend the Rules and Pass,15-Feb-2006,6:21 PM,"Making supplemental appropriations for fiscal year 2006 for the Small Business Administration’s disaster loan program, and for other purposes"
12,H CON RES 341,On Agreeing to the Resolution,16-Feb-2006,11:31 AM,Condemning the Government of Iran for violating its international nuclear nonproliferation obligations and expressing support for efforts to report Iran to the United Nations Security Council
13,H RES 687,On Motion to Table,16-Feb-2006,11:55 AM,
14,H R 1096,"On Motion to Suspend the Rules and Pass, as Amended",28-Feb-2006,6:54 PM,To establish the Thomas Edison National Historical Park in the State of New Jersey as the successor to the Edison National Historical Site
15,H RES 668,"On Motion to Suspend the Rules and Agree, as Amended",28-Feb-2006,7:03 PM,Celebrating the 40th anniversary of the Texas Western’s 1966 NCAA Basketball Championship and recognizing the groundbreaking impact of the title game victory on diversity in sports and civil rights in America
16,H R 1259,"On Motion to Suspend the Rules and Pass, as Amended",28-Feb-2006,7:20 PM,"To authorize the President to award a gold medal on behalf of Congress, collectively, to the Tuskegee Airmen in recognition of their unique military record, which inspired revolutionary reform in the Armed Forces"
17,H RES 357,On Motion to Suspend the Rules and Agree,1-Mar-2006,3:25 PM,Honoring Justice Sandra Day O’Connor
18,H RES 702,On Ordering the Previous Question,2-Mar-2006,12:34 PM,"Providing for the consideration of H.R. 4167, National Uniformity for Food Act"
19,H R 4054,On Motion to Suspend the Rules and Pass,7-Mar-2006,6:56 PM,"To designate the facility of the United States Postal Service located at 6110 East 51st Place in Tulsa, Oklahoma, as the “Dewey F. Bartlett Post Office”"
20,S 2271,On Motion to Suspend the Rules and Pass,7-Mar-2006,7:16 PM,USA PATRIOT Act Additional Reauthorizing Amendments Act
21,H RES 710,On Ordering the Previous Question,8-Mar-2006,3:35 PM,"Providing for the further consideration of H.R. 4167, National Uniformity for Food Act"
22,H R 2830,On Motion to Instruct Conferees,8-Mar-2006,3:48 PM,Pension Protection Act of 2005
23,H R 4192,On Motion to Suspend the Rules and Pass,8-Mar-2006,3:56 PM,"To authorize the Secretary of the Interior to designate the President William Jefferson Clinton Birthplace Home in Hope, Arkansas, as a National Historic Site and unit of the National Park System, and for other purposes"
24,H R 1053,"On Motion to Suspend the Rules and Pass, as Amended",8-Mar-2006,4:05 PM,To authorize the extension of nondiscriminatory treatment (normal trade relations agreement) to the products of Ukraine
25,H RES 673,On Motion to Suspend the Rules and Agree,8-Mar-2006,4:13 PM,"Expressing support for the efforts of the people of the Republic of Belarus to establish a full democracy, the rule of law, and respect for human rights and urging the Government of Belarus to conduct a free and fair presidential election on March 19, 2006."
26,H R 3505,"On Motion to Suspend the Rules and Pass, as Amended",8-Mar-2006,4:21 PM,Financial Services Regulatory Relief Act of 2005
27,H R 4167,On Agreeing to the Amendment,8-Mar-2006,6:14 PM,
28,H R 4167,On Agreeing to the Amendment,8-Mar-2006,6:24 PM,
29,H R 4167,On Agreeing to the Amendment,8-Mar-2006,6:31 PM,
30,H R 4167,On Agreeing to the Amendment,8-Mar-2006,6:39 PM,
31,H R 4167,On Motion to Recommit with Instructions,8-Mar-2006,7:10 PM,National Uniformity for Food Act
32,H R 4167,On Passage,8-Mar-2006,7:25 PM,National Uniformity for Food Act
33,H RES 713,On Ordering the Previous Question,9-Mar-2006,11:28 AM,Providing for consideration of the bill (H.R. 2829) to reauthorize the Office of National Drug Control Policy Act
34,H R 2829,On Agreeing to the Amendment,9-Mar-2006,3:40 PM,
