id,legislation,question,datetime,description
1,QUORUM,Call of the House,27-Jan-1998,12:38 PM,
2,H RES 341,On Motion to Table,28-Jan-1998,2:04 PM,Relating to a question of the privileges of the House.
3,H RES 344,On Ordering the Previous Question,4-Feb-1998,11:34 AM,"Providing for the consideration of H.R. 2625, to redesignate Washington National Airport as “Ronald Reagan Washington National Airport”"
4,H R 2625,On Agreeing to the Amendment,4-Feb-1998,3:08 PM,
5,H R 2625,On Motion to Recommit with Instructions,4-Feb-1998,3:43 PM,To Redesignate Washington National Airport as “Ronald Reagan Washington National Airport”.
6,H R 2625,On Passage,4-Feb-1998,3:54 PM,To Redesignate Washington National Airport as “Ronald Reagan Washington National Airport”.
7,H J RES 107,On Passage,4-Feb-1998,6:45 PM,"A Resolution Concerning Attorneys’ Fees, Costs, and Sanctions Payable by the White House Health Care Task Force"
8,H RES 348,On Ordering the Previous Question,5-Feb-1998,11:21 AM,Providing for the consideration of H.R. 2846
9,H R 2846,On Passage,5-Feb-1998,12:50 PM,Prohibition on Federal Education Funds on National Testing
10,H R 2631,"Passage, Objections of the President Notwithstanding",5-Feb-1998,1:45 PM,Disapproving the cancellations on Military Construction
11,QUORUM,Call of the House,5-Feb-1998,2:21 PM,
12,H RES 352,On Agreeing to the Resolution,11-Feb-1998,5:23 PM,Providing for consideration of motions to suspend the rules.
13,H CON RES 202,"Suspend the rules and agree, as amended",11-Feb-1998,6:36 PM,Daycare Fairness for Stay-At-Home Parents
14,JOURNAL,On Approving the Journal,12-Feb-1998,10:23 AM,
15,H RES 355,On Motion to Recommit with Instructions,12-Feb-1998,12:32 PM,Dismissing the election contest against Loretta Sanchez
16,H RES 355,On Agreeing to the Resolution,12-Feb-1998,12:52 PM,Dismissing the election contest against Loretta Sanchez
17,H R 1428,"On Motion to Suspend the Rules and Pass, as Amended",12-Feb-1998,2:12 PM,Voter Eligibility Verification Act
18,H R 424,"On Motion to Suspend the Rules and Pass, as Amended",24-Feb-1998,5:35 PM,"To provide for increased mandatory minimum sentences for criminals possessing firearms, and for other purposes."
19,H R 1544,On Agreeing to the Amendment,25-Feb-1998,12:14 PM,
20,H R 2181,On Agreeing to the Amendment,25-Feb-1998,2:08 PM,
21,H R 2181,On Passage,25-Feb-1998,2:46 PM,Witness Protection and Interstate Relocation Act
22,H R 1544,On Agreeing to the Amendment,25-Feb-1998,3:09 PM,
23,H R 1544,On Agreeing to the Amendment,25-Feb-1998,3:19 PM,
24,H R 1544,On Passage,25-Feb-1998,3:39 PM,Federal Agency Compliance Act
25,H R 2460,On Passage,26-Feb-1998,11:32 AM,Wireless Telephone Protection Act
26,H R 217,"On Motion to Suspend the Rules and Pass, as Amended",3-Mar-1998,5:25 PM,Homeless Housing Programs Consolidation and Flexibility Act
27,H RES 376,On Agreeing to the Resolution,4-Mar-1998,12:09 PM,Providing for consideration of H.R. 856; U.S.- Puerto Rico Political Status Act
28,H R 856,On Agreeing to the Amendment,4-Mar-1998,4:51 PM,
29,H R 856,On Agreeing to the Amendment,4-Mar-1998,5:01 PM,
30,H R 856,"On Agreeing to the Amendment, as amended",4-Mar-1998,5:11 PM,
31,QUORUM,Call in Committee,4-Mar-1998,6:40 PM,
32,H R 856,On Agreeing to the Amendment,4-Mar-1998,6:48 PM,
33,H R 856,On Agreeing to the Amendment,4-Mar-1998,9:05 PM,
34,H R 856,On Agreeing to the Amendment,4-Mar-1998,9:12 PM,
35,H R 856,On Agreeing to the Amendment,4-Mar-1998,9:22 PM,
