id,legislation,question,datetime,description
36,H R 856,"On agreeing to the amendment, as amended",4-Mar-1998,9:47 PM,
37,H R 856,On Passage,4-Mar-1998,10:07 PM,United States - Puerto Rico Political Status Act
38,H R 2369,On Passage,5-Mar-1998,11:44 AM,Wireless Privacy Enhancement Act
39,H R 3130,On Passage,5-Mar-1998,1:14 PM,Child Support Performance Act of 1998
40,JOURNAL,On Approving the Journal,10-Mar-1998,5:22 PM,
41,H CON RES 206,On Motion to Suspend the Rules and Agree,10-Mar-1998,5:33 PM,Permitting the use of the rotunda of the Capitol for a ceremony as part of the commemmeration of the days of remembrance of victims of the Holocaust.
42,S 419,On Motion to Suspend the Rules and Pass,10-Mar-1998,5:41 PM,"To provide surveillance, research, and services aimed at prevention of birth defects, and for other purposes."
43,H RES 383,On Agreeing to the Resolution,11-Mar-1998,12:11 PM,Providing for the consideration of H.R. 1432
44,H R 1432,On Agreeing to the Amendment,11-Mar-1998,4:23 PM,
45,H R 1432,On Agreeing to the Amendment,11-Mar-1998,4:31 PM,
46,H R 1432,On Motion to Recommit with Instructions,11-Mar-1998,5:11 PM,African Growth and Opportunity Act
47,H R 1432,On Passage,11-Mar-1998,5:21 PM,African Growth and Opportunity Act
48,H RES 384,On Agreeing to the Resolution,12-Mar-1998,11:11 AM,Providing for the consideration of H.R. 2883
49,JOURNAL,On Approving the Journal,12-Mar-1998,11:21 AM,
50,H R 2883,On Passage,12-Mar-1998,1:21 PM,Government Performance and Results Act Technical Amendments
51,H R 992,On Agreeing to the Amendment,12-Mar-1998,2:11 PM,
52,H R 992,On Passage,12-Mar-1998,2:36 PM,Tucker Act Shuffle Relief Act
53,JOURNAL,On Approving the Journal,17-Mar-1998,5:50 PM,
54,H RES 364,On Motion to Suspend the Rules and Agree,17-Mar-1998,6:26 PM,Human Rights Situation in the People’s Republic of China
55,H RES 361,"On Motion to Suspend the Rules and Agree, as Amended",17-Mar-1998,6:35 PM,Calling for Free and Impartial Elections in Cambodia
56,H CON RES 152,"On Motion to Suspend the Rules and Agree, As Amended",18-Mar-1998,11:39 AM,Expressing the sense of the Congress that all parties to the multiparty peace talks regarding Northern Ireland should condemn violence and fully integrate internationally recognized human rights standards and adequately address outstanding human rights violations as part of the peace process
57,H CON RES 235,"On Motion to Suspend the Rules and Agree, As Amended",18-Mar-1998,11:49 AM,Calling for an end to the violent repression of the legitimate rights of the people of Kosova
58,H CON RES 227,On Agreeing to the Resolution,18-Mar-1998,2:31 PM,Directing the President to Remove United States Armed Forces from the Republic of Bosnia and Herzegovina
59,H RES 388,On Agreeing to the Resolution,19-Mar-1998,10:59 AM,Providing for consideration of H.R. 2870; Tropical Forest Conservation Act
60,JOURNAL,On Approving the Journal,19-Mar-1998,11:09 AM,
61,H R 2870,On Agreeing to the Amendment,19-Mar-1998,12:20 PM,
62,H R 2870,On Agreeing to the Amendment,19-Mar-1998,12:31 PM,
63,H R 2870,On Passage,19-Mar-1998,12:49 PM,Tropical Forest Conservation Act
64,JOURNAL,On Approving the Journal,24-Mar-1998,5:23 PM,
65,H R 3211,"On Motion to Suspend the Rules and Pass, as Amended",24-Mar-1998,5:34 PM,Arlington National Cemetery Burial Eligibility Act
66,H R 3412,"On Motion to Suspend the Rules and Pass, as Amended",24-Mar-1998,5:43 PM,SBIC Technical Corrections Act
67,H R 3096,On Passage,24-Mar-1998,5:51 PM,Federal Employees’ Compensation Technical Correction
68,H R 2589,On Agreeing to the Amendment,25-Mar-1998,2:00 PM,
69,H R 2589,On Agreeing to the Amendment,25-Mar-1998,2:14 PM,
70,H R 2578,On Agreeing to the Amendment,25-Mar-1998,5:01 PM,
71,H R 2578,On Passage,25-Mar-1998,5:26 PM,Visa Waiver Pilot Program
72,H R 3310,On Agreeing to the Amendment,26-Mar-1998,1:25 PM,
73,H R 3310,On Agreeing to the Amendment,26-Mar-1998,1:37 PM,
74,H R 3310,On Passage,26-Mar-1998,1:59 PM,Small Business Paperwork Reduction Act Amendments
75,H RES 385,On Agreeing to the Resolution,26-Mar-1998,3:25 PM,"Waiving points of order against the conference report on H.R. 1757, State Department Authorization"
76,H RES 393,On Agreeing to the Resolution,26-Mar-1998,6:12 PM,Providing for the consideration of H.R. 3246
77,H R 3246,On Agreeing to the Amendment,26-Mar-1998,8:03 PM,
78,H R 3246,On Passage,26-Mar-1998,8:22 PM,Fairness for Small Business and Employees Act
79,H R 2515,On Agreeing to the Amendment,27-Mar-1998,1:49 PM,
80,H R 2515,On Passage,27-Mar-1998,2:09 PM,Forest Recovery and Protection Act
81,H R 3581,On Motion to Suspend the Rules and Pass,30-Mar-1998,10:19 PM,Campaign Reform and Election Integrity Act of 1998
82,H R 34,"On Motion to Suspend the Rules and Pass, as Amended",30-Mar-1998,10:26 PM,Illegal Foreign Contributions Act of 1998
83,H R 2608,On Motion to Suspend the Rules and Pass,30-Mar-1998,10:33 PM,Paycheck Protection Act
84,H R 3582,On Motion to Suspend the Rules and Pass,30-Mar-1998,10:39 PM,Campaign Reporting and Disclosure Act of 1998
85,H RES 402,On Agreeing to the Resolution,31-Mar-1998,1:24 PM,Providing for consideration of H.R. 3579; Emergency Appropriations for F.Y. 1998
86,MOTION,Motion For A Secret Session,31-Mar-1998,1:45 PM,
87,H R 3579,On Motion to Recommit with Instructions,31-Mar-1998,4:16 PM,"Emergency Supplemental Appropriations, FY 1998"
88,H R 3579,On Passage,31-Mar-1998,4:34 PM,"Emergency Supplemental Appropriations, FY 1998"
89,QUORUM,Call of the House,31-Mar-1998,5:32 PM,
90,H RES 405,On Agreeing to the Resolution,1-Apr-1998,12:00 PM,Providing for consideration of H.R. 2400; Surface Transportation and Equity Act
91,H CON RES 257,On Agreeing to the Resolution,1-Apr-1998,12:22 PM,Providiing for an adjournment of the two Houses
92,H R 1151,"On Motion to Suspend the Rules and Pass, as Amended",1-Apr-1998,1:36 PM,Credit Union Membership Access Act
93,H R 2400,On Agreeing to the Amendment,1-Apr-1998,6:44 PM,
94,H R 2400,On Agreeing to the Amendment,1-Apr-1998,6:53 PM,
95,H R 2400,On Agreeing to the Amendment,1-Apr-1998,8:59 PM,
96,H R 2400,On Agreeing to the Amendment,1-Apr-1998,9:10 PM,
97,H R 2400,On Agreeing to the Amendment,1-Apr-1998,9:18 PM,
98,H R 2400,On Passage,1-Apr-1998,9:44 PM,Building Efficient Surface Transportation and Equity Act
99,QUORUM,Call of the House,21-Apr-1998,5:32 PM,
100,H R 3565,Suspend the rules and pass,21-Apr-1998,6:17 PM,Care for Police Survivors Act
101,H R 3528,"Suspend the rules and pass, as amended",21-Apr-1998,6:26 PM,Alternative Dispute Resolution Act
102,H J RES 111,On Passage,22-Apr-1998,5:58 PM,Proposing an Amendment to the Constitution of the United States with Respect to Tax Limitations
103,H R 1252,On Agreeing to the Amendment,23-Apr-1998,12:55 PM,
104,H R 1252,On Agreeing to the Amendment,23-Apr-1998,1:51 PM,
105,H R 1252,On Agreeing to the Amendment,23-Apr-1998,3:52 PM,
106,H R 1252,On Agreeing to the Amendment,23-Apr-1998,4:03 PM,
107,H R 1252,On Agreeing to the Amendment,23-Apr-1998,5:09 PM,
108,H R 1252,On Agreeing to the Amendment,23-Apr-1998,5:18 PM,
109,H R 3579,On Motion to Instruct Conferees,23-Apr-1998,7:29 PM,"Emergency Supplemental Appropriations, FY 1998"
110,H CON RES 218,"On Motion to Suspend the Rules and Agree, as Amended",28-Apr-1998,5:25 PM,Urgent Need to Establish a Cease Fire in Afghanistan
111,S CON RES 37,On Motion to Suspend the Rules and Agree,28-Apr-1998,5:36 PM,"Recognize International Character of Little League Baseball, Inc."
112,H J RES 102,On Motion to Suspend the Rules and Pass,28-Apr-1998,5:46 PM,Fiftieth Anniversary of the Founding of the Modern State of Israel
113,H R 3717,On Motion to Recommit with Instructions,29-Apr-1998,2:40 PM,Prohibit Federal Funds for Needle Distribution Programs
114,H R 3717,On Passage,29-Apr-1998,2:50 PM,Prohibit Federal Funds for Needle Distribution Programs
115,H R 3546,On Motion to Recommit with Instructions,29-Apr-1998,6:35 PM,National Dialogue on Social Security and establishment of Bipartisan Panel to Design Long-Range Social Security Reform.
116,H R 3546,On Passage,29-Apr-1998,6:48 PM,National Dialogue on Social Security and establishment of Bipartisan Panel to Design Long-Range Social Security Reform.
117,H RES 413,On Agreeing to the Resolution,30-Apr-1998,11:52 AM,Providing for consideration of S. 1502; District of Columbia Student Opportunity Scholarship Act
118,S 1502,On motion to commit,30-Apr-1998,2:53 PM,District of Columbia Student Opportunity Scholarship Act
119,S 1502,On Passage,30-Apr-1998,3:04 PM,District of Columbia Student Opportunity Scholarship Act
120,H RES 414,On Agreeing to the Resolution,30-Apr-1998,4:24 PM,Waiving a requirement of clause 4(b) of rule XI with respect to consideration of certain resolutions reported from the Committee on Rules
121,H R 3579,On Agreeing to the Conference Report,30-Apr-1998,5:50 PM,"Emergency Supplemental Appropriations, FY 1998"
122,H R 6,On Agreeing to the Amendment,5-May-1998,5:30 PM,
123,H R 6,On Agreeing to the Amendment,5-May-1998,5:42 PM,
124,H R 6,On Agreeing to the Amendment,5-May-1998,5:51 PM,
125,H CON RES 220,"On Motion to Suspend the Rules and Agree, as Amended",5-May-1998,6:03 PM,Regarding American Victims of Terrorism
126,H RES 267,"On Motion to Suspend the Rules and Agree, as Amended",5-May-1998,6:14 PM,Combat Use of Illegal Drugs by the Nations’s Youth
127,H R 1872,On Agreeing to the Amendment,6-May-1998,1:40 PM,
128,H R 1872,On Agreeing to the Amendment,6-May-1998,3:18 PM,
129,H R 1872,On Passage,6-May-1998,3:42 PM,Communication Satellite Competition and Privatization Act
130,H R 6,On Agreeing to the Amendment,6-May-1998,6:44 PM,
131,H R 6,On Agreeing to the Amendment,6-May-1998,6:55 PM,
132,H R 6,On Agreeing to the Amendment,6-May-1998,7:02 PM,
133,H R 6,On Agreeing to the Amendment,6-May-1998,9:56 PM,
134,H R 6,On Agreeing to the Amendment,6-May-1998,10:36 PM,
135,H R 6,On Passage,6-May-1998,10:55 PM,Higher Education Amendments of 1998
136,H R 2646,On Motion to Instruct Conferees,7-May-1998,11:51 AM,Education Savings Act for Public and Private Schools
137,H R 3694,On Agreeing to the Amendment,7-May-1998,2:45 PM,
138,H RES 423,Suspend the rules and agree,12-May-1998,6:13 PM,War on Drugs to Protect Children
139,H R 3811,Suspend the rules and pass,12-May-1998,6:22 PM,Deadbeat Parents Punishment Act
140,H R 2829,"On Motion to Suspend the Rules and Pass, as Amended",12-May-1998,6:30 PM,Bulletproof Vest Partnership Grant Act of 1997
141,H RES 422,On Motion to Suspend the Rules and Agree,12-May-1998,6:38 PM,Honoring Slain Law Enforcement Officers
142,H RES 428,On Agreeing to the Resolution,13-May-1998,12:54 PM,Providing for consideration of H.R. 10; Financial Services Competition Act
143,H R 10,On Agreeing to the Amendment,13-May-1998,3:03 PM,
144,H R 10,On Agreeing to the Amendment,13-May-1998,4:19 PM,
145,H R 10,On Agreeing to the Amendment,13-May-1998,5:37 PM,
146,H R 10,On Agreeing to the Amendment,13-May-1998,7:24 PM,
147,H R 10,On Agreeing to the Amendment,13-May-1998,7:37 PM,
148,H R 10,On Agreeing to the Amendment,13-May-1998,7:47 PM,
149,H R 10,On Agreeing to the Amendment,13-May-1998,7:56 PM,
150,H R 10,On Agreeing to the Amendment,13-May-1998,8:48 PM,
151,H R 10,On Passage,13-May-1998,9:12 PM,Financial Services Competition Act
152,ADJOURN,On Motion to Adjourn,14-May-1998,10:26 AM,
153,MOTION,On motion to table,14-May-1998,10:57 AM,
154,H R 2431,On Agreeing to the Amendment,14-May-1998,1:51 PM,
155,H R 2431,On Passage,14-May-1998,2:26 PM,Freedom from Religious Persecution Act
156,H R 3534,On Agreeing to the Amendment,19-May-1998,6:53 PM,
157,H R 3534,On Agreeing to the Amendment,19-May-1998,7:02 PM,
158,H R 3534,On Agreeing to the Amendment,19-May-1998,7:12 PM,
159,H R 3534,On Agreeing to the Amendment,19-May-1998,7:20 PM,
160,H R 3534,On Passage,19-May-1998,7:40 PM,Mandates Information Act
161,H RES 440,Suspend the rules and agree,19-May-1998,8:54 PM,Sense of the Congress Concerning the Committee on Government Reform and Oversight
162,H R 3039,"Suspend the rules and pass, as amended",19-May-1998,9:03 PM,Veterans Transitional Housing Opportunities Act
163,H R 3718,Suspend the rules and pass,19-May-1998,9:11 PM,Limit the Jurisdiction of the Federal Courts with Respect to Prison Release Orders
164,H R 3809,"Suspend the rules and pass, as amended",19-May-1998,9:19 PM,Drug Free Borders Act of 1998
165,H RES 441,On Ordering the Previous Question,20-May-1998,12:00 PM,Providing for the further consideration of H.R. 3616
166,H RES 441,On Agreeing to the Resolution,20-May-1998,12:12 PM,Providing for the further consideration of H.R. 3616
167,H R 3616,On Agreeing to the Amendment,20-May-1998,2:29 PM,
168,H R 3616,On Agreeing to the Amendment,20-May-1998,2:39 PM,
169,H R 3616,On Agreeing to the Amendment,20-May-1998,2:48 PM,
170,H R 3616,On Agreeing to the Amendment,20-May-1998,2:57 PM,
171,H R 3616,On Agreeing to the Amendment,20-May-1998,5:16 PM,
172,H R 3616,On Agreeing to the Amendment,20-May-1998,5:25 PM,
173,H R 3616,On Agreeing to the Amendment,20-May-1998,5:33 PM,
174,H R 2400,On Motion to Instruct Conferees,20-May-1998,6:31 PM,Building Efficient Surface Transportation and Equity Act
175,JOURNAL,On Approving the Journal,21-May-1998,10:32 AM,
176,H RES 432,On Agreeing to the Resolution,21-May-1998,1:18 PM,Expressing the Sense of the House Concerning the President’s Assertions of Executive Privilege
177,H RES 433,On Agreeing to the Resolution,21-May-1998,2:47 PM,Calling upon the President to Cooperate with Congressional Investigations
178,H R 3616,On Agreeing to the Amendment,21-May-1998,5:02 PM,
179,H R 3616,On Agreeing to the Amendment,21-May-1998,6:41 PM,
180,H R 3616,On Agreeing to the Amendment,21-May-1998,6:50 PM,
181,H R 3616,On Agreeing to the Amendment,21-May-1998,7:42 PM,
182,H R 3616,On Motion to Recommit with Instructions,21-May-1998,8:13 PM,National Defense Authorization for Fiscal Year 1999
183,H R 3616,On Passage,21-May-1998,8:21 PM,National Defense Authorization for Fiscal Year 1999
184,H R 2400,On Motion to Instruct Conferees,21-May-1998,9:43 PM,Building Efficient Surface Transportation and Equity Act
185,H R 2400,On Motion to Instruct Conferees,21-May-1998,9:53 PM,Building Efficient Surface Transportation and Equity Act
186,H RES 442,On Ordering the Previous Question,21-May-1998,11:33 PM,"Providing for consideration of H.J. Res. 119 and H.R. 2183, Campaign Finance Reform."
187,ADJOURN,On Motion to Adjourn,22-May-1998,9:57 AM,
188,H RES 446,On Agreeing to the Resolution As Amended,22-May-1998,11:54 AM,Disposing of the Conference Report to Accompany S. 1150
189,H R 2676,On Motion to Instruct Conferees,22-May-1998,3:21 PM,to amend the Internal Revenue Code of 1986 to restructure and reform the Internal Revenue Service
190,H RES 449,On Agreeing to the Resolution,22-May-1998,4:41 PM,Waiving points of order against the conference report on H.R. 2400
191,H R 2400,Recommit Conference Report With Instructions,22-May-1998,5:57 PM,Building Efficient Surface Transportation and Equity Act
192,H R 2400,On Agreeing to the Conference Report,22-May-1998,6:07 PM,Building Efficient Surface Transportation and Equity Act
193,JOURNAL,On Approving the Journal,3-Jun-1998,5:20 PM,
194,H R 3808,"On Motion to Suspend the Rules and Pass, as Amended",3-Jun-1998,5:29 PM,Designating the Carl D. Pursell Post Office
195,H R 3630,"On Motion to Suspend the Rules and Pass, as Amended",3-Jun-1998,5:38 PM,Designating the Steven Schiff Post Office
196,H RES 453,On Agreeing to the Resolution,4-Jun-1998,12:10 PM,Providing for consideration of H.J.Res. 78; Religious Freedom Constitutional Amendment
197,H R 3433,On Passage,4-Jun-1998,12:29 PM,Ticket to Work and Self-Sufficiency Act
198,H J RES 78,On Agreeing to Part 1 of the amendment,4-Jun-1998,4:33 PM,
199,H J RES 78,On agreeing to Part 2 of the amendment,4-Jun-1998,4:43 PM,
200,H J RES 78,On Motion to Recommit with Instructions,4-Jun-1998,5:14 PM,Religious Freedom Constitutional Amendment
201,H J RES 78,On Passage,4-Jun-1998,5:24 PM,Religious Freedom Constitutional Amendment
202,H CON RES 285,On Agreeing to the Resolution,4-Jun-1998,7:16 PM,Sense of Congress Regarding Tiananmen Square
203,S 1150,On Consideration of the Conference Report,4-Jun-1998,8:05 PM,"Agricultural Research, Extension, and Education Reform Act"
204,S 1150,On Agreeing to the Conference Report,4-Jun-1998,9:19 PM,"Agricultural Research, Extension, and Education Reform Act"
205,H RES 455,On Agreeing to the Resolution,4-Jun-1998,10:57 PM,Providing for consideration of H.Con.Res. 284; Budget Resolution for Fiscal Year 1999
206,H R 3989,On Motion to Recommit with Instructions,5-Jun-1998,10:42 AM,User Fee Act
207,H R 3989,On Passage,5-Jun-1998,11:04 AM,User Fee Act
208,H CON RES 284,On Agreeing to the Amendment,5-Jun-1998,12:42 PM,
209,H CON RES 284,On Agreeing to the Amendment,5-Jun-1998,2:27 PM,
210,H CON RES 284,On Agreeing to the Resolution,5-Jun-1998,2:46 PM,Budget Resolution for Fiscal Year 1999
211,H R 2709,On Agreeing to the Senate Amendments,9-Jun-1998,7:32 PM,Iran Missile Proliferation Sanctions Act
212,H RES 417,"Suspend the rules and agree, as amended",9-Jun-1998,7:41 PM,Importance of Fathers in Raising their Children
213,H RES 447,"Suspend the rules and agree, as amended",9-Jun-1998,7:52 PM,Financial Management by Federal Agencies
214,H R 1635,"Suspend the rules and pass, as amended",9-Jun-1998,8:01 PM,National Underground Railroad Network to Freedom Act
215,H CON RES 270,"On Motion to Suspend the Rules and Agree, as Amended",9-Jun-1998,8:10 PM,U.S. Support for Taiwan
216,H RES 462,On Consideration of the Resolution,10-Jun-1998,12:19 PM,"Providing for the consideration of H.R. 3150, Bankruptcy Reform Act"
217,H RES 462,On Ordering the Previous Question,10-Jun-1998,1:51 PM,"Providing for the consideration of H.R. 3150, Bankruptcy Reform Act"
218,H RES 462,On Agreeing to the Resolution,10-Jun-1998,2:02 PM,"Providing for the consideration of H.R. 3150, Bankruptcy Reform Act"
219,H R 3150,On Agreeing to the Amendment,10-Jun-1998,6:28 PM,
220,H R 3150,On Agreeing to the Amendment,10-Jun-1998,6:37 PM,
221,H R 3150,On Agreeing to the Amendment,10-Jun-1998,6:46 PM,
222,H R 3150,On Agreeing to the Amendment,10-Jun-1998,6:53 PM,
223,H R 3150,On Agreeing to the Amendment,10-Jun-1998,7:01 PM,
224,H R 3150,On Motion to Recommit with Instructions,10-Jun-1998,7:31 PM,Bankruptcy Reform Act
225,H R 3150,On Passage,10-Jun-1998,7:38 PM,Bankruptcy Reform Act
226,H J RES 119,On Passage,11-Jun-1998,11:17 AM,Constitutional Amendment to Permit Limits on Campaign Spending
227,H R 2888,On Agreeing to the Amendment,11-Jun-1998,11:38 AM,
228,H R 2888,On Passage,11-Jun-1998,12:02 PM,Sales Incentive Compensation Act
229,H R 3494,On Agreeing to the Amendment,11-Jun-1998,4:11 PM,
230,H R 3494,On Passage,11-Jun-1998,4:37 PM,Child Protection and Sexual Predator Punishment Act
231,H RES 466,On Agreeing to the Resolution,11-Jun-1998,5:35 PM,"Condemning the brutal killing of Mr. James Byrd, Jr."
232,H R 1847,Suspend the Rules and Agree to Senate Amendment,16-Jun-1998,5:32 PM,Telemarketing Fraud Prevention Act
233,H RES 401,"Suspend the rules and agree, as amended",16-Jun-1998,5:42 PM,Expressing the Sense of the House of Representatives concerning promotions in American Schools
234,H RES 472,On Ordering the Previous Question,17-Jun-1998,12:13 PM,Providing for consideration of H.R. 3097; Tax Code Termination Act
235,H RES 472,On Agreeing to the Resolution,17-Jun-1998,12:24 PM,Providing for consideration of H.R. 3097; Tax Code Termination Act
236,H RES 471,On Agreeing to the Resolution,17-Jun-1998,12:33 PM,Waiving points of order against the conference report to accompany H.R. 2646; Education Savings Act
237,QUORUM,Call of the House,17-Jun-1998,3:25 PM,
238,H R 3097,On Motion to Recommit with Instructions,17-Jun-1998,3:43 PM,Tax Code Termination Act
239,H R 3097,On Passage,17-Jun-1998,4:00 PM,Tax Code Termination Act
240,QUORUM,Call in Committee,17-Jun-1998,5:05 PM,
241,H R 2183,On Agreeing to the Amendment,17-Jun-1998,7:13 PM,
242,H R 2646,On Motion to Recommit with Instructions,18-Jun-1998,12:09 PM,Education Savings Act for Public and Private Schools
243,H R 2646,On Agreeing to the Conference Report,18-Jun-1998,12:19 PM,Education Savings Act for Public and Private Schools
244,H RES 476,On Ordering the Previous Question,18-Jun-1998,1:45 PM,Providing for consideration of H.Res. 463; To establish the Select Committee on U.S. National Security regarding the People’s Republic of China
245,H RES 463,On Agreeing to the Resolution,18-Jun-1998,3:11 PM,Establish the Select Committee on U.S. National Security and Military/Commercial Concerns With the People’s Republic of China
246,H RES 458,On Ordering the Previous Question,18-Jun-1998,4:43 PM,Providing for the further consideration of H.R. 2183
247,H RES 458,On Agreeing to the Resolution,18-Jun-1998,4:52 PM,Providing for the further consideration of H.R. 2183
248,H RES 477,On Agreeing to the Resolution,19-Jun-1998,11:07 AM,Providing for consideration of H.R. 4059; Military Construction Appropriations for F.Y. 1999
249,H R 2183,On Agreeing to the Amendment,19-Jun-1998,11:27 AM,
250,H R 2183,On Agreeing to the Amendment,19-Jun-1998,12:24 PM,
251,H R 2183,On Agreeing to the Amendment,19-Jun-1998,1:00 PM,
252,H R 4060,On Agreeing to the Amendment,22-Jun-1998,7:52 PM,
253,H R 4060,On Passage,22-Jun-1998,8:10 PM,Energy and Water Development Appropriations for F.Y. 1999
254,H R 4059,On Passage,22-Jun-1998,8:18 PM,Military Construction Appropriations for F.Y. 1999
255,H CON RES 288,On Motion to Suspend the Rules and Agree,22-Jun-1998,8:26 PM,Money Laundering Associated with Mexican Financial Institutions
256,H RES 452,On Motion to Suspend the Rules and Agree,22-Jun-1998,8:34 PM,Sense of the House of Representatives Concerning Increase in Postage Rates
257,H R 3853,"On Motion to Suspend the Rules and Pass, as Amended",23-Jun-1998,11:44 AM,Drug-Free Workplace Act
258,H R 4101,On Agreeing to the Amendment,23-Jun-1998,4:35 PM,
259,H R 4101,On Agreeing to the Amendment,23-Jun-1998,4:44 PM,
260,H R 4101,On Agreeing to the Amendment,24-Jun-1998,2:49 PM,
261,H R 4101,On Agreeing to the Amendment,24-Jun-1998,3:06 PM,
262,H R 4101,On Agreeing to the Amendment,24-Jun-1998,3:15 PM,
263,H R 4101,On Agreeing to the Amendment,24-Jun-1998,4:38 PM,
264,H R 4101,On Passage,24-Jun-1998,4:47 PM,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 1999"
265,H RES 484,On Agreeing to the Resolution,24-Jun-1998,6:14 PM,Providing for consideration of H.R. 4103; Defense Appropriations for F.Y. 1999
266,H R 4103,On Passage,24-Jun-1998,8:07 PM,Defense Appropriations Act for F.Y. 1999
267,H RES 491,On Agreeing to the Resolution,25-Jun-1998,1:28 PM,Providing for the consideration of an adjournment resolution
268,H RES 485,On Agreeing to the Resolution,25-Jun-1998,1:44 PM,Providing for the consideration of H.R. 4104; Treasury-Postal Appropriations for F.Y. 1999
269,H RES 489,On Ordering the Previous Question,25-Jun-1998,1:54 PM,Providing for the consideration of H.R. 4112; Legislative Appropriations for F.Y. 1999
270,H RES 489,On Agreeing to the Resolution,25-Jun-1998,2:01 PM,Providing for the consideration of H.R. 4112; Legislative Appropriations for F.Y. 1999
271,H R 4112,On Motion to Recommit with Instructions,25-Jun-1998,3:23 PM,"Legislative Branch Appropriations, FY 1999"
272,H R 4112,On Passage,25-Jun-1998,3:33 PM,"Legislative Branch Appropriations, FY 1999"
273,H R 2676,On Motion to Recommit the Conference Report,25-Jun-1998,5:20 PM,to amend the Internal Revenue Code of 1986 to restructure and reform the Internal Revenue Service
274,H R 2676,On Agreeing to the Conference Report,25-Jun-1998,5:33 PM,to amend the Internal Revenue Code of 1986 to restructure and reform the Internal Revenue Service
275,H R 2183,On Agreeing to the Amendment,14-Jul-1998,8:07 PM,
276,H R 2183,On Agreeing to the Amendment,14-Jul-1998,9:29 PM,
277,H RES 499,On Ordering the Previous Question,15-Jul-1998,1:30 PM,"Providing for the consideration of H.R. 3682, Child Custody Protection Act"
