1,Hobson,R,OH,H000666
2,Emanuel,D,IL,E000287
3,Whitfield,R,KY,W000413
4,Tauscher,D,CA,T000057
5,Ferguson,R,NJ,F000443
6,Cleaver,D,MO,C001061
7,Walsh,R,NY,W000099
8,Chabot,R,OH,C000266
9,Engel,D,NY,E000179
10,McKinney,D,GA,M000523
11,Lewis (GA),D,GA,L000287
12,Gonzalez,D,TX,G000544
13,Schwarz (MI),R,MI,S001161
14,Kline,R,MN,K000363
15,Porter,R,NV,P000589
16,Ross,D,AR,R000573
17,Bachus,R,AL,B000013
18,Foley,R,FL,F000238
19,Bilirakis,R,FL,B000463
20,Fortenberry,R,NE,F000449
21,Sherwood,R,PA,S001146
22,Harris,R,FL,H001035
23,Goode,R,VA,G000280
24,Sherman,D,CA,S000344
25,Bilbray,R,CA,B000461
26,Musgrave,R,CO,M001152
27,McDermott,D,WA,M000404
28,Royce,R,CA,R000487
29,Souder,R,IN,S001143
30,Blackburn,R,TN,B001243
31,Norwood,R,GA,N000159
32,Dent,R,PA,D000604
33,Barton (TX),R,TX,B000213
34,Serrano,D,NY,S000248
35,Sullivan,R,OK,S001155
36,Buyer,R,IN,B001203
37,Solis,D,CA,S001153
38,McMorris,R,WA,M001159
39,Calvert,R,CA,C000059
40,Lowey,D,NY,L000480
41,Herseth,D,SD,H001037
42,McKeon,R,CA,M000508
43,Biggert,R,IL,B001232
44,Van Hollen,D,MD,V000128
45,Chandler,D,KY,C001058
46,LaTourette,R,OH,L000553
47,Bean,D,IL,B001253
48,Turner,R,OH,T000463
49,Waxman,D,CA,W000215
50,Wexler,D,FL,W000314
51,"Brown-Waite, Ginny",R,FL,B001247
52,Bishop (UT),R,UT,B001250
53,Eshoo,D,CA,E000215
54,Oberstar,D,MN,O000006
55,Holt,D,NJ,H001032
56,Murphy,R,PA,M001151
57,Marchant,R,TX,M001158
58,Udall (NM),D,NM,U000039
59,LaHood,R,IL,L000552
60,Kolbe,R,AZ,K000306
61,Bartlett (MD),R,MD,B000208
62,Payne,D,NJ,P000149
63,"Miller, George",D,CA,M000725
64,Rohrabacher,R,CA,R000409
65,Boozman,R,AR,B001236
66,Carter,R,TX,C001051
67,Paul,R,TX,P000583
68,McCarthy,D,NY,M000309
69,Bonner,R,AL,B001244
70,Grijalva,D,AZ,G000551
71,Salazar,D,CO,S001158
72,Istook,R,OK,I000047
73,Nadler,D,NY,N000002
74,Bradley (NH),R,NH,B001246
75,McGovern,D,MA,M000312
76,Waters,D,CA,W000187
77,Granger,R,TX,G000377
78,Ehlers,R,MI,E000092
79,"Green, Gene",D,TX,G000410
80,Westmoreland,R,GA,W000796
81,Gordon,D,TN,G000309
82,Miller (MI),R,MI,M001150
83,Kuhl (NY),R,NY,K000364
84,Cubin,R,WY,C000962
85,Beauprez,R,CO,B001240
86,Lipinski,D,IL,L000563
87,Davis (FL),D,FL,D000114
88,Conaway,R,TX,C001062
89,Sessions,R,TX,S000250
90,Hulshof,R,MO,H000948
91,Cuellar,D,TX,C001063
92,Pelosi,D,CA,P000197
93,McMorris Rodgers,R,WA,M001159
94,Jenkins,R,TN,J000082
95,Capito,R,WV,C001047
96,Pastor,D,AZ,P000099
97,Dreier,R,CA,D000492
98,Brown (SC),R,SC,B001235
99,Fitzpatrick (PA),R,PA,F000451
100,Hunter,R,CA,H000981
101,"Johnson, Sam",R,TX,J000174
102,Capuano,D,MA,C001037
103,Schwartz (PA),D,PA,S001162
104,Weiner,D,NY,W000792
105,Becerra,D,CA,B000287
106,Carnahan,D,MO,C001060
107,Shuster,R,PA,S001154
108,Ford,D,TN,F000262
109,Boyd,D,FL,B000716
110,Costello,D,IL,C000794
111,Johnson (CT),R,CT,J000163
112,Matheson,D,UT,M001142
113,Baldwin,D,WI,B001230
114,Kanjorski,D,PA,K000008
115,Wamp,R,TN,W000119
116,Evans,D,IL,E000250
117,Cardoza,D,CA,C001050
118,Mollohan,D,WV,M000844
119,McCrery,R,LA,M000388
120,Pomeroy,D,ND,P000422
121,Oxley,R,OH,O000163
122,Alexander,R,LA,A000361
123,Meehan,D,MA,M000627
124,Moore (WI),D,WI,M001160
125,Burton (IN),R,IN,B001149
126,Markey,D,MA,M000133
127,Flake,R,AZ,F000444
128,Lynch,D,MA,L000562
129,Baird,D,WA,B001229
130,Tiahrt,R,KS,T000260
131,Sweeney,R,NY,S001149
132,Jefferson,D,LA,J000070
133,Hostettler,R,IN,H000807
134,Lewis (KY),R,KY,L000293
135,"Lungren, Daniel E.",R,CA,L000517
136,Issa,R,CA,I000056
137,Everett,R,AL,E000268
138,Watt,D,NC,W000207
139,Melancon,D,LA,M001161
140,Stupak,D,MI,S001045
